agent_id,condition_id,layout_id,run_id,nominal_mean,post_change_mean,cumulative_deficit,immediate_degradation
c0,nominal,final-l01,FINAL-L01-C01,-13.25,-13.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.0,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.625,-12.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.625,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-14.375,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.75,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-15.625,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-15.75,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.375,-12.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.375,-12.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.375,-14.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.375,-14.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.5,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.625,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.375,-15.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.25,-15.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.75,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.75,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.625,-14.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.75,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.125,-12.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.125,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.375,-15.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.125,-14.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.25,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.125,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.875,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.0,-12.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.25,-12.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.875,-12.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.375,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.375,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.0,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.25,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.875,-12.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.5,-12.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.875,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.0,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.875,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.125,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.5,-13.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.5,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.375,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.5,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.75,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.25,-12.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.0,-14.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.25,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.75,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.75,-12.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.5,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.875,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.25,-11.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.375,-11.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.375,-13.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-12.5,-13.0,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.125,-13.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.25,-14.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-12.625,-13.0,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.125,-13.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.375,-11.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.75,-11.5,0.0,0.0
c0,nominal,final-l01,FINAL-L01-C01,-13.375,-12.5,0.0,0.0
f0,nominal,final-l01,FINAL-L01-C01,-13.125,-12.5,0.0,0.0
c0,remap-min-in-set,final-l01,FINAL-L01-C02,-13.25,-12.5,96.0,40.0
f0,remap-min-in-set,final-l01,FINAL-L01-C02,-13.0,-53.0,1378.0,58.0
c0,remap-min-in-set,final-l01,FINAL-L01-C02,-12.625,-22.75,155.0,38.0
f0,remap-min-in-set,final-l01,FINAL-L01-C02,-12.625,-53.25,1215.0,38.0
